Company_Name,Year,Revenue_Increase_Rate,Operating_Income(added)_Increase_Rate,Net_Income(added)_Increase_Rate,Revenue_Profit_Status,Operating_Income(added)_Profit_Status,Net_Income(added)_Profit_Status,Debt_Equity_Ratio,ROA,ROE,EPS,PER,Current_Stock,Future_Stock
오리온,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,3538.0,33.92,"{'Low': 113000, 'High': 120000, 'Close': 120000}","{'Low': 105000, 'High': 106500, 'Close': 105500}"
오리온,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,5454.0,19.34,"{'Low': 105000, 'High': 106500, 'Close': 105500}","{'Low': 122000, 'High': 125000, 'Close': 124000}"
오리온,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,6769.0,18.32,"{'Low': 122000, 'High': 125000, 'Close': 124000}","{'Low': 103000, 'High': 106500, 'Close': 103500}"
오리온,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,6519.0,15.88,"{'Low': 103000, 'High': 106500, 'Close': 103500}","{'Low': 126500, 'High': 129000, 'Close': 128000}"
오리온,2022,5.721868135847916,-26.358648761979435,-21.84281242788304,P_Contd,P_Contd,P_Contd,24.19,9.77,12.14,9926.0,12.9,"{'Low': 126500, 'High': 129000, 'Close': 128000}",0
금호석유,2017,0.0,0.0,0.0,P,P,P,30.79,14.53,19.0,7647.0,13.01,"{'Low': 96900, 'High': 101000, 'Close': 99500}","{'Low': 85200, 'High': 88200, 'Close': 87300}"
금호석유,2018,4.969345036534697,20.23448761404348,12.233047277251128,P_Contd,P_Contd,P_Contd,26.61,14.98,18.97,17597.0,4.96,"{'Low': 85200, 'High': 88200, 'Close': 87300}","{'Low': 77000, 'High': 79300, 'Close': 77500}"
금호석유,2019,-10.085108655904586,-209.59435757549008,-113.73305961191592,P_Contd,P_Contd,P_Contd,21.54,7.1,8.63,10549.0,7.35,"{'Low': 77000, 'High': 79300, 'Close': 77500}","{'Low': 142000, 'High': 146500, 'Close': 145000}"
금호석유,2020,6.937796507031208,31.20968426588971,1.6759186572823677,P_Contd,P_Contd,P_Contd,25.28,6.8,8.52,20881.0,6.94,"{'Low': 142000, 'High': 146500, 'Close': 145000}","{'Low': 165000, 'High': 172500, 'Close': 166000}"
금호석유,2021,16.738122795295123,35.86450129562061,49.58173390461269,P_Contd,P_Contd,P_Contd,29.98,12.33,16.03,70433.0,2.36,"{'Low': 165000, 'High': 172500, 'Close': 166000}","{'Low': 125000, 'High': 132000, 'Close': 126000}"
